Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,Ips,X_res,Y_res,ppi,Cpu brand,first,second,Layer1HDD,Layer1SSD,Layer1Hybrid,Layer1Flash_Storage,Layer2HDD,Layer2SSD,Layer2Hybrid,Layer2Flash_Storage,Gpu brand,os
Acer,Notebook,15.6,4,2.4,20459.52,0,0,1366,768,100.454669861137,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Dell,Notebook,15.6,8,2.13,40908.384,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
HP,Notebook,15.6,4,1.91,23389.92,0,0,1920,1080,141.211998082199,Intel Core i3,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Notebook,15.6,4,2,31232.2032,0,0,1366,768,100.454669861137,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
MSI,Gaming,17.3,16,2.43,130482.72,0,0,1920,1080,127.335674571231,Intel Core i7,256 SSD,  2000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Asus,Notebook,15.6,4,2,22111.2,0,0,1920,1080,141.211998082199,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Others/No OS/Linux
Dell,Notebook,17.3,16,2.8,69210.72,0,0,1920,1080,127.335674571231,Intel Core i7,256 SSD,  2000 HDD,0,1,0,0,1,0,0,0,AMD,Windows
Dell,Ultrabook,14,8,1.7,46833.12,0,0,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Lenovo,Notebook,14,8,1.7,31914.72,0,1,1920,1080,157.350512148736,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Others/No OS/Linux
Asus,Notebook,14,8,1.4,50136.48,0,0,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,15.6,8,1.86,36763.2,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Ultrabook,15.6,16,1.8,105654.24,0,0,1920,1080,141.211998082199,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,15.6,4,1.86,23373.4032,0,0,1366,768,100.454669861137,Intel Core i3,500 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
HP,Notebook,14,4,1.44,12201.12,0,0,1366,768,111.935203559552,Other Intel Processor,32 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,4,1.9,29250.72,0,0,1920,1080,141.211998082199,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Asus,Gaming,17.3,12,3,50562.72,0,0,1920,1080,127.335674571231,Intel Core i7,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,13.5,4,1.252,58021.92,1,0,2256,1504,200.842559936957,Intel Core i5,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Ultrabook,13.3,8,1.4,50882.4,0,1,1920,1080,165.632118051301,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Dell,Notebook,15.6,8,2.2,46353.6,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
MSI,Gaming,17.3,8,2.7,58341.6,0,0,1920,1080,127.335674571231,Intel Core i5,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Acer,Notebook,14,8,2.1,20725.92,0,0,1366,768,111.935203559552,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Asus,Gaming,15.6,8,2.2,50562.72,0,0,1920,1080,141.211998082199,Intel Core i7,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,8,2.2,27652.32,0,0,1920,1080,141.211998082199,Intel Core i5,2000 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
Dell,Notebook,15.6,8,2.02,45554.4,0,0,1920,1080,141.211998082199,Intel Core i7,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Intel,Windows
Acer,Notebook,15.6,4,2.2,28238.4,0,0,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,17.3,8,2.5,52054.56,0,0,1920,1080,127.335674571231,Intel Core i5,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Dell,Ultrabook,15.6,8,1.88,58403.4048,0,1,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Apple,Ultrabook,12,8,0.92,80452.8,0,1,2304,1440,226.415547169359,Intel Core i5,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
HP,Notebook,14,8,1.63,45820.8,0,0,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,4,2.2,21258.72,0,0,1920,1080,141.211998082199,AMD Processor,128 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Acer,Notebook,15.6,4,2.1,21045.6,0,0,1366,768,100.454669861137,AMD Processor,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Dell,Gaming,15.6,16,2.65,71874.72,0,1,1920,1080,141.211998082199,Intel Core i7,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
HP,Ultrabook,15.6,8,1.83,37242.72,0,1,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,15.6,8,1.96,31914.1872,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Gaming,15.6,16,2.2,77202.72,0,1,1920,1080,141.211998082199,Intel Core i7,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Dell,Ultrabook,13.3,8,1.21,87858.72,0,1,1920,1080,165.632118051301,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Gaming,15.6,8,2.45,37242.72,0,0,1920,1080,141.211998082199,AMD Processor,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Acer,Notebook,15.6,8,2.2,36709.92,0,0,1920,1080,141.211998082199,Intel Core i7,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,13.3,16,1.49,63776.16,0,0,1920,1080,165.632118051301,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Gaming,15.6,8,2.65,63669.6,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Asus,Ultrabook,14,8,1.25,55890.72,0,0,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Acer,2 in 1 Convertible,13.3,8,1.5,45128.16,1,1,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Notebook,15.6,8,2.2,31962.672,0,0,1920,1080,141.211998082199,Intel Core i7,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Others/No OS/Linux
Dell,Notebook,15.6,4,2.2,25840.8,0,0,1920,1080,141.211998082199,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Others/No OS/Linux
Asus,Notebook,15.6,6,2,30742.56,0,0,1920,1080,141.211998082199,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
HP,Gaming,15.6,12,2.62,66546.72,0,1,1920,1080,141.211998082199,Intel Core i7,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
HP,Notebook,15.6,8,1.91,38308.32,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
HP,Notebook,15.6,4,2.1,18594.72,0,0,1920,1080,141.211998082199,AMD Processor,500 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Dell,Notebook,15.6,8,2.2,34472.16,0,0,1920,1080,141.211998082199,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Others/No OS/Linux
HP,Ultrabook,13.3,8,1.38,59620.32,0,1,1920,1080,165.632118051301,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Microsoft,Ultrabook,13.5,8,1.252,71395.2,1,0,2256,1504,200.842559936957,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,14,6,1.58,35111.52,0,1,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,4,1.85,22105.872,0,0,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Asus,Ultrabook,14,8,1.3,63563.04,0,1,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
MSI,Gaming,15.6,16,2.2,69210.72,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Lenovo,Notebook,14,8,1.58,78854.4,0,1,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Ultrabook,15.6,16,1.5,67239.36,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Dell,Ultrabook,13.3,8,1.23,73473.12,1,0,3200,1800,276.053530085501,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,13.3,8,1.37,74538.72,1,1,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,14,4,1.63,38468.16,0,1,1366,768,111.935203559552,Intel Core i5,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Dell,Ultrabook,13.3,8,1.21,86793.12,0,1,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,2 in 1 Convertible,13.3,8,1.26,74538.1872,1,1,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,14,8,1.63,57755.52,0,0,1920,1080,157.350512148736,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Notebook,15.6,8,2.16,60223.9824,0,1,1920,1080,141.211998082199,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Asus,Notebook,17.3,4,2,30049.92,0,0,1920,1080,127.335674571231,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Asus,Notebook,15.6,8,1.7,59567.04,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Acer,Notebook,15.6,6,2.1,25521.12,1,1,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
MSI,Gaming,15.6,16,1.8,119427.12,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,  2000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,8,2.2,33513.12,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
HP,Notebook,17.3,16,2.5,67718.88,0,0,1920,1080,127.335674571231,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Acer,Notebook,15.6,4,2.1,24029.28,0,0,1366,768,100.454669861137,AMD Processor,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
HP,Notebook,15.6,4,1.86,13799.52,0,0,1366,768,100.454669861137,Other Intel Processor,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
HP,Notebook,14,8,1.63,43263.36,0,0,1920,1080,157.350512148736,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Asus,Notebook,14,4,1.65,14811.3072,0,0,1366,768,111.935203559552,AMD Processor,64 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Dell,Notebook,17.3,16,2.8,74378.88,0,0,1920,1080,127.335674571231,Intel Core i7,256 SSD,  2000 HDD,0,1,0,0,1,0,0,0,AMD,Windows
HP,Notebook,17.3,8,2.5,49443.84,0,0,1920,1080,127.335674571231,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Notebook,15.6,8,2.36,34045.3872,0,0,1366,768,100.454669861137,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Dell,Notebook,15.6,4,2.2,23922.72,0,0,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Acer,Ultrabook,14,8,1.6,47099.52,0,1,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Acer,Notebook,15.6,4,2.2,30476.16,0,0,1920,1080,141.211998082199,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,15.6,8,2.05,31861.44,0,0,1366,768,100.454669861137,Intel Core i7,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
HP,Notebook,14,8,1.63,52640.64,0,0,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,4,1.9,13445.7408,0,0,1366,768,100.454669861137,Other Intel Processor,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
Asus,Gaming,17.3,8,3,49976.64,0,0,1920,1080,127.335674571231,Intel Core i5,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,4,2.2,26586.72,0,0,1920,1080,141.211998082199,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
HP,Notebook,13.3,4,1.32,37242.72,0,1,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Acer,Notebook,17.3,4,3,34898.4,0,1,1920,1080,127.335674571231,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Lenovo,Notebook,14,8,1.75,59461.5456,0,1,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Lenovo,Gaming,15.6,8,2.4,46300.32,0,1,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
Toshiba,Notebook,15.6,4,2.1,32074.56,0,0,1366,768,100.454669861137,Intel Core i5,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
HP,Notebook,15.6,4,1.86,19660.32,0,0,1366,768,100.454669861137,AMD Processor,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Asus,Ultrabook,14,8,1.25,58554.72,0,0,1920,1080,157.350512148736,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Ultrabook,12.5,8,0.97,107305.92,1,1,3840,2160,352.465147213168,Other Intel Processor,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Notebook,15.6,4,2,18328.32,0,0,1920,1080,141.211998082199,Other Intel Processor,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
MSI,Gaming,17.3,16,2.9,108105.12,0,0,1920,1080,127.335674571231,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Acer,Notebook,15.6,4,2.1,23816.16,0,0,1366,768,100.454669861137,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Dell,Gaming,15.6,16,2.56,66560.5728,0,0,1920,1080,141.211998082199,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Dell,Gaming,15.6,8,2.62,47898.72,0,0,1920,1080,141.211998082199,Intel Core i7,1000 Hybrid,0,0,0,1,0,0,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,4,1.9,26533.44,0,0,1366,768,100.454669861137,Intel Core i5,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
MSI,Gaming,17.3,16,2.8,100699.2,0,0,1920,1080,127.335674571231,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
HP,Ultrabook,14,4,1.48,57648.96,0,0,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,15.6,6,1.91,32980.32,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Lenovo,2 in 1 Convertible,14,4,1.74,33513.12,1,1,1920,1080,157.350512148736,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,2 in 1 Convertible,13.3,8,1.1,70063.2,1,0,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,2 in 1 Convertible,15.6,8,1.56,55890.72,1,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Toshiba,Notebook,15.6,4,2.1,23816.16,0,0,1366,768,100.454669861137,Intel Core i3,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Asus,Notebook,15.6,4,2.03,21471.84,0,0,1366,768,100.454669861137,AMD Processor,1000 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Acer,Notebook,17.3,4,3,42890.4,0,1,1920,1080,127.335674571231,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Dell,Notebook,15.6,8,2.13,38787.84,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
